artifact_tag,SmolVLM_acc,SmolVLM_correct,SmolVLM_wrong,SmolVLM_no_verdict,SmolVLM_total,InternVL2_acc,InternVL2_correct,InternVL2_wrong,InternVL2_no_verdict,InternVL2_total,Janus_acc,Janus_correct,Janus_wrong,Janus_no_verdict,Janus_total,Qwen2-VL_acc,Qwen2-VL_correct,Qwen2-VL_wrong,Qwen2-VL_no_verdict,Qwen2-VL_total,MiniCPM_acc,MiniCPM_correct,MiniCPM_wrong,MiniCPM_no_verdict,MiniCPM_total
Clean,0.3235,22,17,29,68,0.6765,46,22,0,68,0.6324,43,25,0,68,0.6912,47,21,0,68,0.6176,42,21,5,68
Distorted,0.5,1,0,1,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2
Glare,0.1667,2,7,3,12,0.5833,7,5,0,12,0.5,6,6,0,12,0.4167,5,7,0,12,0.4167,5,6,1,12
Glare/ Oblique Angle,0.6667,4,1,1,6,0.6667,4,2,0,6,0.5,3,3,0,6,0.5,3,3,0,6,0.3333,2,4,0,6
Low Contrast,0.25,3,7,2,12,0.5833,7,5,0,12,0.4167,5,7,0,12,0.4167,5,7,0,12,0.5,6,6,0,12
Low Resolution,0.0833,3,14,19,36,0.5278,19,16,1,36,0.4444,16,18,2,36,0.3889,14,22,0,36,0.4167,15,16,5,36
Oblique Angle,0.4,12,10,8,30,0.6,18,12,0,30,0.4667,14,16,0,30,0.5,15,15,0,30,0.6,18,11,1,30
Oblique Angle/ Low Resolution,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2
Oblique Angle/ Obstruction,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,1.0,2,0,0,2
Obstruction,0.5,5,4,1,10,0.5,5,5,0,10,0.5,5,5,0,10,0.5,5,5,0,10,0.5,5,5,0,10
Texture Overlap,0.0556,1,4,13,18,0.4444,8,10,0,18,0.1667,3,15,0,18,0.3333,6,12,0,18,0.4444,8,10,0,18
Unclear image,0.0,0,0,2,2,0.0,0,2,0,2,0.0,0,2,0,2,0.5,1,1,0,2,0.0,0,2,0,2
