artifact_tag,SmolVLM_acc,SmolVLM_correct,SmolVLM_wrong,SmolVLM_no_verdict,SmolVLM_total,InternVL2_acc,InternVL2_correct,InternVL2_wrong,InternVL2_no_verdict,InternVL2_total,Janus_acc,Janus_correct,Janus_wrong,Janus_no_verdict,Janus_total,Qwen2-VL_acc,Qwen2-VL_correct,Qwen2-VL_wrong,Qwen2-VL_no_verdict,Qwen2-VL_total,MiniCPM_acc,MiniCPM_correct,MiniCPM_wrong,MiniCPM_no_verdict,MiniCPM_total
Clean,0.6765,46,22,0,68,0.3529,24,44,0,68,0.1176,8,9,51,68,0.4706,32,36,0,68,0.6618,45,23,0,68
Distorted,0.5,1,1,0,2,0.5,1,1,0,2,0.0,0,0,2,2,0.0,0,2,0,2,1.0,2,0,0,2
Glare,0.5,6,6,0,12,0.5833,7,5,0,12,0.25,3,5,4,12,0.3333,4,8,0,12,0.5,6,6,0,12
Glare/ Oblique Angle,0.3333,2,3,1,6,0.5,3,3,0,6,0.1667,1,2,3,6,0.5,3,3,0,6,0.5,3,3,0,6
Low Contrast,0.5,6,6,0,12,0.5,6,6,0,12,0.5,6,3,3,12,0.4167,5,7,0,12,0.5833,7,5,0,12
Low Resolution,0.3056,11,25,0,36,0.5556,20,16,0,36,0.0556,2,15,19,36,0.5,18,18,0,36,0.5833,21,11,4,36
Oblique Angle,0.4333,13,15,2,30,0.3333,10,20,0,30,0.4,12,6,12,30,0.4,12,18,0,30,0.5,15,15,0,30
Oblique Angle/ Low Resolution,1.0,2,0,0,2,0.5,1,1,0,2,0.5,1,0,1,2,0.5,1,1,0,2,1.0,2,0,0,2
Oblique Angle/ Obstruction,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.0,0,2,0,2,0.5,1,1,0,2
Obstruction,0.5,5,5,0,10,0.4,4,6,0,10,0.2,2,5,3,10,0.4,4,6,0,10,0.5,5,5,0,10
Texture Overlap,0.0,0,18,0,18,0.5556,10,8,0,18,0.0,0,12,6,18,0.6667,12,6,0,18,0.6111,11,7,0,18
Unclear image,0.0,0,2,0,2,0.0,0,2,0,2,0.5,1,1,0,2,1.0,2,0,0,2,0.5,1,1,0,2
