artifact_tag,SmolVLM_acc,SmolVLM_correct,SmolVLM_wrong,SmolVLM_no_verdict,SmolVLM_total,InternVL2_acc,InternVL2_correct,InternVL2_wrong,InternVL2_no_verdict,InternVL2_total,Janus_acc,Janus_correct,Janus_wrong,Janus_no_verdict,Janus_total,Qwen2-VL_acc,Qwen2-VL_correct,Qwen2-VL_wrong,Qwen2-VL_no_verdict,Qwen2-VL_total,MiniCPM_acc,MiniCPM_correct,MiniCPM_wrong,MiniCPM_no_verdict,MiniCPM_total
Clean,0.6618,45,22,1,68,0.4265,29,39,0,68,0.2059,14,14,40,68,0.3824,26,42,0,68,0.7206,49,19,0,68
Distorted,0.5,1,1,0,2,0.5,1,1,0,2,1.0,2,0,0,2,0.5,1,1,0,2,0.5,1,1,0,2
Glare,0.5,6,6,0,12,0.5833,7,5,0,12,0.1667,2,4,6,12,0.75,9,3,0,12,0.5,6,6,0,12
Glare/ Oblique Angle,0.5,3,3,0,6,0.5,3,3,0,6,0.6667,4,1,1,6,0.5,3,3,0,6,0.5,3,3,0,6
Low Contrast,0.5,6,6,0,12,0.6667,8,4,0,12,0.6667,8,3,1,12,0.4167,5,7,0,12,0.5833,7,5,0,12
Low Resolution,0.3056,11,25,0,36,0.6111,22,14,0,36,0.2222,8,12,16,36,0.6389,23,13,0,36,0.5833,21,15,0,36
Oblique Angle,0.4,12,17,1,30,0.6,18,12,0,30,0.3,9,7,14,30,0.4667,14,16,0,30,0.6,18,12,0,30
Oblique Angle/ Low Resolution,0.5,1,1,0,2,0.0,0,2,0,2,0.0,0,1,1,2,0.5,1,1,0,2,0.5,1,1,0,2
Oblique Angle/ Obstruction,0.5,1,1,0,2,0.0,0,2,0,2,0.5,1,0,1,2,0.5,1,1,0,2,1.0,2,0,0,2
Obstruction,0.5,5,5,0,10,0.6,6,4,0,10,0.4,4,3,3,10,0.6,6,4,0,10,0.5,5,5,0,10
Texture Overlap,0.0,0,18,0,18,0.5556,10,8,0,18,0.0,0,9,9,18,0.7222,13,5,0,18,0.6111,11,7,0,18
Unclear image,0.0,0,2,0,2,1.0,2,0,0,2,0.5,1,0,1,2,1.0,2,0,0,2,0.5,1,1,0,2
