artifact_tag,SmolVLM_acc,SmolVLM_correct,SmolVLM_wrong,SmolVLM_no_verdict,SmolVLM_total,InternVL2_acc,InternVL2_correct,InternVL2_wrong,InternVL2_no_verdict,InternVL2_total,Janus_acc,Janus_correct,Janus_wrong,Janus_no_verdict,Janus_total,Qwen2-VL_acc,Qwen2-VL_correct,Qwen2-VL_wrong,Qwen2-VL_no_verdict,Qwen2-VL_total,MiniCPM_acc,MiniCPM_correct,MiniCPM_wrong,MiniCPM_no_verdict,MiniCPM_total
Clean,0.6324,43,21,4,68,0.2206,15,21,32,68,0.2353,16,12,40,68,0.6324,43,25,0,68,0.6765,46,22,0,68
Distorted,0.5,1,1,0,2,0.0,0,1,1,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2
Glare,0.5,6,6,0,12,0.25,3,2,7,12,0.0,0,4,8,12,0.5833,7,5,0,12,0.5,6,6,0,12
Glare/ Oblique Angle,0.5,3,3,0,6,0.1667,1,5,0,6,0.0,0,0,6,6,0.6667,4,2,0,6,0.5,3,3,0,6
Low Contrast,0.5,6,6,0,12,0.4167,5,2,5,12,0.25,3,3,6,12,0.5833,7,5,0,12,0.4167,5,6,1,12
Low Resolution,0.3056,11,24,1,36,0.2222,8,3,25,36,0.1389,5,9,22,36,0.75,27,9,0,36,0.75,27,9,0,36
Oblique Angle,0.5,15,15,0,30,0.3333,10,6,14,30,0.2333,7,7,16,30,0.3667,11,19,0,30,0.4,12,18,0,30
Oblique Angle/ Low Resolution,0.5,1,1,0,2,1.0,2,0,0,2,0.5,1,1,0,2,0.5,1,1,0,2,0.5,1,1,0,2
Oblique Angle/ Obstruction,0.5,1,1,0,2,0.0,0,1,1,2,0.0,0,0,2,2,0.5,1,1,0,2,0.5,1,1,0,2
Obstruction,0.4,4,5,1,10,0.1,1,8,1,10,0.3,3,6,1,10,0.3,3,7,0,10,0.4,4,6,0,10
Texture Overlap,0.0,0,18,0,18,0.2778,5,1,12,18,0.1111,2,5,11,18,0.8333,15,3,0,18,0.8889,16,2,0,18
Unclear image,0.0,0,2,0,2,0.5,1,0,1,2,0.0,0,1,1,2,0.0,0,2,0,2,1.0,2,0,0,2
